Duration,Location,Scale
5mns,135.05166687194293,31.148026288542574
10mns,73.24895340638498,17.019413682886718
15mns,48.59956366098629,8.85651240050904
30mns,12.975152984888565,2.98944129574858
1h,20.123338385008324,4.008473751066162
90min,17.486612985166797,4.221706178566356
2h,15.455962978359413,3.6068503312665117
3h,13.760440302559337,3.0593883050090467
6h,9.066905983176651,2.458357011607262
12h,6.090505577367765,1.7705773999215593
15h,5.408098069146142,1.573402868084196
18h,4.79324310893387,1.4360049985854797
24h,1.951398685266461,0.6872732923699374
