Duration (minutes),2-year,5-year,10-year,25-year,50-year,100-year
5,71.82742,84.502846,105.628555,126.75427,147.87997,169.00569
10,18.771502,22.08412,27.60515,33.12618,38.64721,44.16824
15,20.830034,24.505922,30.632402,36.758884,42.885365,49.011845
30,14.6025,17.17941,21.474264,25.769115,30.063969,34.35882
60,6.8569155,8.066959,10.083699,12.100439,14.117179,16.133919
90,5.586207,6.572008,8.21501,9.858012,11.501015,13.144016
120,5.1835203,6.098259,7.6228237,9.147388,10.671953,12.196518
180,5.6532555,6.6508884,8.31361,9.976333,11.639055,13.301777
360,3.1293664,3.6816075,4.6020093,5.5224113,6.442813,7.363215
720,2.2270486,2.620057,3.2750714,3.9300857,4.5851,5.240114
900,1.146244,1.3485224,1.685653,2.0227838,2.3599143,2.6970448
1080,1.3017049,1.5314175,1.9142718,2.2971263,2.6799805,3.062835
1440,1.3700798,1.6118585,2.0148232,2.4177878,2.8207524,3.223717
