Duration (minutes),2-year,5-year,10-year,25-year,50-year,100-year
5,109.712906,129.074,161.3425,193.61101,225.87952,258.148
10,53.212677,62.603146,78.25393,93.90472,109.555504,125.20629
15,55.48911,65.2813,81.60163,97.92195,114.24228,130.5626
30,18.082132,21.273096,26.59137,31.909645,37.227917,42.546192
60,16.20096,19.059952,23.82494,28.589928,33.354916,38.119904
90,10.985208,12.923773,16.154716,19.385658,22.616602,25.847546
120,10.181244,11.977934,14.972418,17.9669,20.961384,23.955868
180,12.934874,15.217498,19.021872,22.826246,26.630621,30.434996
360,4.6176934,5.4325805,6.7907257,8.14887,9.507016,10.865161
720,3.1745632,3.73478,4.668475,5.60217,6.5358653,7.46956
900,1.9147471,2.2526436,2.8158045,3.3789654,3.9421263,4.505287
1080,1.5581497,1.8331172,2.2913966,2.7496758,3.2079551,3.6662345
1440,1.9548107,2.2997773,2.8747215,3.449666,4.02461,4.5995545
