Model,RMSE,MAE,R2,NSE
SVM,10.326574069509803,4.140095418258262,0.9001061351100943,0.8994714638165995
ANN,8.745641440263839,4.441491603851318,0.9290829594508546,0.9278958737850188
TCN,6.870316730955174,4.068788528442383,0.9577450211741428,0.9555030465126038
TCAN,6.609363168115149,3.8414289951324463,0.961216540183095,0.9588190875947477
Statistical,4.794743293015835,3.8806806416483015,0.6226240699599876,0.596001788491781
Literature,7.9734415517954575,7.11066242848747,0.7866548985525821,-9.755385808310011
GEV,4.6680430958384385,3.754689710356877,0.6413198132365718,0.6204815105691546
Log-Normal,4.825895663536805,3.912375994493738,0.6158414460726684,0.5943200968697852
Log-Pearson-III,24.24413405878742,22.975892822986584,0.7337907030435539,-6.352563177795483
Weibull,4.521765443771534,3.9205541091828784,0.6910170776586576,0.6439984933907996
