number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,state
0,-3.0626312150977872,2025-11-12 11:05:02.117659,2025-11-12 11:05:02.122562,0 days 00:00:00.004903,0.31489116479568624,0.36808608148776095,0.8471801418819978,rbf,COMPLETE
1,-0.6681754692677787,2025-11-12 11:05:02.123040,2025-11-12 11:05:02.128835,0 days 00:00:00.005795,2.481040974867813,0.0026368755339723046,0.004207053950287938,rbf,COMPLETE
2,-4.01690210368041,2025-11-12 11:05:02.129374,2025-11-12 11:05:02.133408,0 days 00:00:00.004034,0.017073967431528128,0.21766241123453672,0.2537815508265665,rbf,COMPLETE
3,-4.423838103573771,2025-11-12 11:05:02.133841,2025-11-12 11:05:02.150600,0 days 00:00:00.016759,6.79657809075816,0.001136467270001117,7.579479953348009,rbf,COMPLETE
4,-0.6145839027539417,2025-11-12 11:05:02.150910,2025-11-12 11:05:02.157571,0 days 00:00:00.006661,21.368329072358772,0.003741940611118496,0.005337032762603957,rbf,COMPLETE
5,-2.423933097515982,2025-11-12 11:05:02.157829,2025-11-12 11:05:02.162743,0 days 00:00:00.004914,0.05415244119402541,0.006624310605949983,0.12561043700013558,rbf,COMPLETE
6,-2.7778413538372866,2025-11-12 11:05:02.162981,2025-11-12 11:05:02.168871,0 days 00:00:00.005890,0.5342937261279778,0.006109683510122491,0.2801635158716261,rbf,COMPLETE
7,-4.018813457203025,2025-11-12 11:05:02.169173,2025-11-12 11:05:02.174390,0 days 00:00:00.005217,0.03613894271216528,0.00614454378558747,0.029204338471814112,rbf,COMPLETE
8,-1.30572618990568,2025-11-12 11:05:02.174681,2025-11-12 11:05:02.178292,0 days 00:00:00.003611,0.6672367170464207,0.13157287601765633,0.006290644294586149,rbf,COMPLETE
9,-2.4441287043227997,2025-11-12 11:05:02.178504,2025-11-12 11:05:02.183465,0 days 00:00:00.004961,1.1400863701127328,0.039710847107924725,0.0015339162591163618,rbf,COMPLETE
10,-3.3404121039384322,2025-11-12 11:05:02.183757,2025-11-12 11:05:02.194441,0 days 00:00:00.010684,81.65528450509136,0.03223456480976826,0.0174719233691234,rbf,COMPLETE
11,-0.3982482414005185,2025-11-12 11:05:02.194735,2025-11-12 11:05:02.201509,0 days 00:00:00.006774,20.669711998712387,0.0010865591587103085,0.0014285676124002433,rbf,COMPLETE
12,-0.4373269077083052,2025-11-12 11:05:02.201777,2025-11-12 11:05:02.208977,0 days 00:00:00.007200,44.755344858375906,0.001084232308879943,0.0014092674202848309,rbf,COMPLETE
13,-0.4280813928269415,2025-11-12 11:05:02.209238,2025-11-12 11:05:02.217150,0 days 00:00:00.007912,97.29639956311128,0.0010549618224799944,0.0010832571764967914,rbf,COMPLETE
14,-0.4672814243448006,2025-11-12 11:05:02.217388,2025-11-12 11:05:02.223451,0 days 00:00:00.006063,13.171615438164599,0.014870122582626112,0.001166160740279661,rbf,COMPLETE
15,-2.866376450026845,2025-11-12 11:05:02.223766,2025-11-12 11:05:02.233170,0 days 00:00:00.009404,76.11543927843927,0.0021054353400768713,0.014920996594938639,rbf,COMPLETE
16,-1.8532345856698975,2025-11-12 11:05:02.233421,2025-11-12 11:05:02.240630,0 days 00:00:00.007209,4.142923420912736,0.014925637646369627,0.035182035535072306,rbf,COMPLETE
17,-0.4506972520109219,2025-11-12 11:05:02.240867,2025-11-12 11:05:02.246850,0 days 00:00:00.005983,21.95938064774906,0.07896883437503056,0.0033651421705755166,rbf,COMPLETE
18,-5.062839396686833,2025-11-12 11:05:02.247109,2025-11-12 11:05:02.276939,0 days 00:00:00.029830,28.717043296641535,0.0015917019748023,1.4810456320082088,rbf,COMPLETE
19,-2.8775482963952395,2025-11-12 11:05:02.277241,2025-11-12 11:05:02.285652,0 days 00:00:00.008411,7.279977128679312,0.0034359047214441597,0.06701521675295782,rbf,COMPLETE
20,-2.1907146029669353,2025-11-12 11:05:02.285896,2025-11-12 11:05:02.295027,0 days 00:00:00.009131,99.4145050297258,0.001015251841089815,0.009672162234219576,rbf,COMPLETE
21,-0.4577091337866534,2025-11-12 11:05:02.295294,2025-11-12 11:05:02.302605,0 days 00:00:00.007311,37.444888180717356,0.001661188020720457,0.0019469303809302486,rbf,COMPLETE
